trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
724,False,"{'a': 0.02, 'e': 0.3361566296927946}",35,0,-30.34031367783564,"{0: 27, 1: 2, 2: 6, 3: 0, 4: 0}",0
725,False,"{'a': 0.02, 'e': 0.354924266788705}",20,13,-5.452122804119528,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
726,False,"{'a': 0.02, 'e': 0.3735499389101603}",20,0,10.361857542555061,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
727,False,"{'a': 0.02, 'e': 0.3920261960366527}",20,8,-4.616253966335503,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
728,False,"{'a': 0.02, 'e': 0.41034564791167505}",20,2,-60.361651961854584,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 0}",1
729,False,"{'a': 0.02, 'e': 0.428500966998735}",25,10,14.270967149138253,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.02, 'e': 0.4464848914122656}",25,10,-1.2207732044334838,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
731,False,"{'a': 0.02, 'e': 0.46429022782228535}",25,0,4.086219711128399,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
732,False,"{'a': 0.02, 'e': 0.4819098543316285}",25,0,-25.52258312369436,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
733,False,"{'a': 0.02, 'e': 0.499336723324618}",20,12,-4.208911863593357,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
734,False,"{'a': 0.02, 'e': 0.5165638642860119}",25,0,12.172535086778073,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.02, 'e': 0.5335843865891192}",25,0,-15.038323729909685,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
736,False,"{'a': 0.02, 'e': 0.550391482251953}",20,9,-17.86077160062572,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
737,False,"{'a': 0.02, 'e': 0.5669784286603413}",20,0,-91.39984383926381,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
738,False,"{'a': 0.02, 'e': 0.583338591256877}",25,8,-57.5428586077272,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
739,False,"{'a': 0.02, 'e': 0.5994654261946557}",25,2,-69.98332532472494,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
740,False,"{'a': 0.02, 'e': 0.6153524829547208}",25,0,-66.59003045739371,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
741,False,"{'a': 0.02, 'e': 0.6309934069261943}",25,0,-36.57067463140136,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
742,False,"{'a': 0.02, 'e': 0.6463819419480308}",20,6,-34.501267690719615,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
743,False,"{'a': 0.02, 'e': 0.6615119328113989}",20,0,-30.624987878994954,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
744,False,"{'a': 0.02, 'e': 0.6763773277216854}",20,0,-29.11032741234126,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
745,False,"{'a': 0.02, 'e': 0.6909721807191258}",25,5,-6.369654595404145,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
746,False,"{'a': 0.02, 'e': 0.7052906540571183}",30,2,-88.97959807636605,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 1}",1
747,False,"{'a': 0.02, 'e': 0.719327020537238}",20,8,-17.350414672970174,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
748,False,"{'a': 0.02, 'e': 0.733075665800043}",30,0,-45.14490214056277,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
749,False,"{'a': 0.02, 'e': 0.7465310905707387}",20,0,-80.44596706422462,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
750,False,"{'a': 0.02, 'e': 0.7596879128588213}",20,0,-83.09244957690989,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
751,False,"{'a': 0.02, 'e': 0.7725408701107974}",20,0,-11.321473280316454,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
752,False,"{'a': 0.02, 'e': 0.785084821315138}",20,0,-53.245830461871016,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
753,False,"{'a': 0.02, 'e': 0.7973147490586094}",25,0,-72.37629707528438,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",1
754,False,"{'a': 0.02, 'e': 0.809225761533179}",35,0,-133.77212617014294,"{0: 20, 1: 7, 2: 6, 3: 1, 4: 1}",0
755,False,"{'a': 0.02, 'e': 0.8208130944926683}",25,0,-41.84892961937422,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
756,False,"{'a': 0.02, 'e': 0.8320721131583901}",20,14,-0.3985533438931115,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
757,False,"{'a': 0.02, 'e': 0.8429983140729946}",20,0,-68.398141326916,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
758,False,"{'a': 0.02, 'e': 0.8535873269017975}",30,0,-70.21912747994197,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
759,False,"{'a': 0.02, 'e': 0.8638349161808523}",30,16,-32.269731495525626,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
760,False,"{'a': 0.02, 'e': 0.873736983011081}",25,0,-101.79167873927301,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
